title,audience_rating,critic_rating
"In Her Skin",6.4,66
"In the Heart of the Sea",6.9,47
"In the Name of the Father",8.1,84
"Indecent Proposal",6,45
Infamous,7,68
"Infest Wisely",6.4,66
"Infinity Pool",6,72
"Infinity Pool",6,72
"Inside Deep Throat",6.7,64
"Inside Out",8.1,94
"Inside Out",8.1,94
"Interview with the Vampire: The Vampire Chronicles",7.5,62
Intimacy,6,69
"Into the White",7.1,66
"Into the Wild",8.1,73
Invictus,7.3,74
Invincible,7,63
"Ip Man",8,59
"Ip Man 2",7.5,67
"Ip Man 3",7,57
Iris,7,76
"It Ain't Over",8.2,79
"It Chapter Two",6.5,58
"It Follows",6.8,83
"It Follows",6.8,83
"It Happened Here",6.7,66
"It's All Gone Pete Tong",7.2,56
Izo,6,66
"J. Edgar",6.5,59
Jackie,6.7,81
Jarhead,7,58
Jaws,8.1,87
"Jerry and Marge Go Large",6.9,52
"Jersey Boys",6.8,54
Jerusalem,6.8,66
Jobs,6,44
"Joe Bell",6.2,54
"Joe Dirt",6,20
Joy,6.6,56
"Judas and the Black Messiah",7.4,84
Judy,6.8,66
"Julie & Julia",7,66
Jumanji,7.1,39
Jungle,6.7,48
"Just Mercy",7.6,68
"Ke xue shao nÃ¼",6.4,66
"Kiddy Grade: Truth Dawn",7,66
"Kill the Irishman",7,50
"Kill the Messenger",6.9,60
"Kill Your Darlings",6.4,65
"Kilo Two Bravo",7.1,66
"King of Kings",7,66
"King Richard",7.5,76
Kinsey,7.1,79
Kon-Tiki,7.1,62
"Kultur Shock!",6.5,66
Kundun,7,74
"Kung Fu Panda",7.6,74
"Kung Fu Panda 4",6.3,54
"Kureji da yo: kisÃ´tengai",7.2,66
"La Bamba",6.9,65
"La cittÃ  dell'ultima paura",6.5,66
"La sombra vengadora vs. La mano negra",5,66
"La Vie En Rose",7.6,66
"Labyrinth of Cinema",6.7,82
"Lady Jane",7.1,64
"Lady Sings the Blues",7,66
Lansky,6.2,45
"Last Night in Soho",7,65
"Last Night in Soho",7,65
Lawless,7.2,58
"Lawrence of Arabia",8.3,100
LBJ,6.5,54
"Le futur aux trousses",5.4,66
"Le joueur de quilles",6.3,66
"Le troisiÃ¨me cri",7.1,66
"Lean on Me",7.4,58
Lee,6.9,59
Legend,6.9,55
"Legend of the Galactic Heroes Gaiden: Golden Wings",6.4,66
"Legend of the Galactic Heroes: Die Neue These - Stellar War",7.7,66
"Legend of the Galactic Heroes: My Conquest is the Sea of Stars",7.7,66
"Legend of the Galactic Heroes: Overture to a New War",7.9,66
"Legend of the Guardians: The Owls of Ga'Hoole",6.9,53
Lenny,7.5,61
Life,6,59
Lifeforce,6.1,50
Lifeforce,6.1,50
Lifemark,6.1,66
Lincoln,7.3,87
"Lint the Movie",6.8,66
Lion,8,69
Lisztomania,6.1,66
"Little Ashes",6.4,41
Lola,6.4,70
"Lone Survivor",7.5,60
"Lonely Hearts",6.4,60
"Lonesome Soldier",6.2,66
"Lords of Chaos",6.6,48
"Lords of Dogtown",7.1,56
"Lorenzo's Oil",7.3,80
"Love & Mercy",7.4,80
"Love Lies Bleeding",6.7,77
Lovelace,6.2,51
Loving,7,79
"Loving Pablo",6.4,42
"Lucie Aubrac",6.6,61
Ludwig,7.5,66
Luther,6.6,47
MacArthur,6.5,66
"Machine Gun Preacher",6.7,43
"Macross: Do You Remember Love?",7.7,66
"Made in Italy",6,44
Maestro,6.5,77
Mahler,7,66
"Maken Liner 0011 Henshin Seyo!",5.4,66
"Malcolm X",7.7,73
Maleficent,6.9,56
"Man on the Moon",7.4,58
"Man on Wire",7.7,89
"Mandela: Long Walk to Freedom",7.1,60
Mank,6.8,79
"Marie Antoinette",6.5,64
"Mark Felt: The Man Who Brought Down the White House",6.4,49
Marley,7.9,82
"Married Life",6.2,65
Marshall,7.3,66
"Mary Queen of Scots",6.3,60
"Mary Shelley",6.4,49
"Mary, Queen of Scots",7.1,53
Mask,7.2,73
Matilda,7,72
Maudie,7.6,65
"McFarland, USA",7.4,60
McQueen,7.7,84
"Meet Joe Black",7.2,43
"Megan Leavey",7.1,66
Men,6.1,65
"Men in Black II",6.2,49
"Men of Honor",7.2,56
"Mesrine: Killer Instinct",7.5,71
"Mesrine: Public Enemy No. 1",7.4,72
"Michael Collins",7.1,59
"Midnight Express",7.5,59
Midsommar,7.1,72
Midsommar,7.1,72
Migration,6.7,56
"Miles Ahead",6.4,64
Milk,7.5,83
"Million Dollar Arm",7,56
"Mind Runner",5,66
"Minions: The Rise of Gru",6.5,56
Miracle,7.5,68
"Miracles from Heaven",7.1,44
"Mirror, Mirror",6.2,66
"Mishima: A Life in Four Chapters",7.9,84
"Miss Peregrine's Home for Peculiar Children",6.7,57
"Miss Potter",7,57
Missing,7.7,78
Moana,7.6,81
"Mobile Suit Gundam F91",6.4,66
"Mobile Suit Gundam I",7,66
"Mobile Suit Gundam II: Soldiers of Sorrow",7.1,66
"Mobile Suit Gundam III: Encounters in Space",7.6,66
"Mobile Suit Gundam Thunderbolt: Bandit Flower",6.6,66
"Mobile Suit Gundam Thunderbolt: December Sky",7.2,66
"Mobile Suit Gundam: Char's Counterattack",7.3,66
"Mobile Suit Gundam: The Origin I - Blue-Eyed Casval",7.5,66
"Mobile Suit Gundam: The Origin II - Artesia's Sorrow",7.5,66
"Mobile Suit Gundam: The Origin III - Dawn of Rebellion",7.9,66
"Mobile Suit Gundam: The Origin IV - Eve of Destiny",7.6,66
"Mobile Suit Z Gundam: A New Translation - Heirs to the Stars",6.7,66
Modigliani,7.2,25
"Moleman 4: Longplay",8.4,66
"Molly's Game",7.4,71
"Mommie Dearest",6.6,55
Moneyball,7.6,87
"Mongol: The Rise of Genghis Khan",7.2,74
Monster,4.6,66
Monster,7.3,74
Monster,4.6,66
"Monster House",6.6,68
"Monsters, Inc.",8.1,79
"Moonage Daydream",7.6,83
"Mountain Top",7.1,66
"Mr. Holmes",6.8,67
"Mr. Malcolm's List",6,65
"Mr. Turner",6.8,94
"Mrs. Brown",7.2,71
"Munich: The Edge of War",6.8,53
"Muppets Most Wanted",6.4,61
"Murderous Tales",5.8,66
"Muscle Shoals",7.8,75
"Music Within",7.2,53
"My All-American",7.1,34
"My Father's Glory",7.6,66
"My Friend Dahmer",6.2,68
"My Left Foot",7.8,97
"My Oni Girl",6,66
"My Week with Marilyn",6.9,65
Napoleon,6.4,64
Napoleon,8.2,66
"National Treasure",6.9,40
"National Treasure: Book of Secrets",6.5,48
Navalny,7.7,82
"Neco je ve vzduchu",5.3,66
"Ned Kelly",6.4,56
"Nervo Craniano Zero",6,66
"Neutron Battles the Karate Assassins",5.2,66
"Never Been Kissed",6,60
"Never Look Away",7.7,68
"Nicholas and Alexandra",7.2,57
"Nightwatch: Demons Are Forever",6,50
"Nightwatch: Demons Are Forever",6,50
Nightwatching,6.5,66
Nixon,7.1,66
Noejeolgaesul,5,66
Nope,6.8,77
Nope,6.8,77
"North by Northwest",8.3,98
Nosferatu,6.9,66
Nosferatu,6.9,66
Notorious,6.7,60
"Now You See Me 2",6.4,46
"Nowhere Boy",7.1,67
"Nowhere in Africa",7.5,72
Nyad,7.1,63
"October Sky",7.8,71
Octopus,6.9,66
"Official Secrets",7.3,63
Old,5.8,55
Old,5.8,55
"On the Basis of Sex",7.1,59
"One Chance",6.8,52
"One Life",7.5,69
"One Night with the King",6,38
"Only the Brave",7.6,72
"Operation Finale",6.6,58
Oppenheimer,8.3,90
"Original Sin",6,33
"Orion and the Dark",6.3,72
"Orion and the Dark",6.3,72
